conc,shell1,shell2,shell3,shell4,shell5,shell6,enthalpy
0.625,0.46875,0.4166666666666667,0.5208333333333334,0.4739583333333333,0.4375,0.16666666666666666,27.619110912433825
0.625,0.484375,0.5,0.5208333333333334,0.4739583333333333,0.5625,0.16666666666666666,26.47535716497805
0.625,0.53125,0.4375,0.4375,0.5364583333333334,0.5,0.125,24.69236206205096
0.625,0.5,0.3958333333333333,0.4583333333333333,0.5260416666666666,0.3125,0.16666666666666666,27.321488854591735
0.625,0.453125,0.4791666666666667,0.5833333333333334,0.4635416666666667,0.4375,0.25,26.38295650249347
0.625,0.515625,0.4375,0.5416666666666666,0.484375,0.4375,0.25,25.787599498638883
0.625,0.453125,0.5208333333333334,0.5208333333333334,0.4635416666666667,0.5,0.16666666666666666,25.533298338064924
0.625,0.53125,0.4375,0.4166666666666667,0.5364583333333334,0.4375,0.16666666666666666,25.689562234445475
0.625,0.4375,0.5,0.5,0.4583333333333333,0.5,0.20833333333333334,27.09820193075575
0.625,0.53125,0.4583333333333333,0.5208333333333334,0.4947916666666667,0.4375,0.16666666666666666,24.532211856450886
0.625,0.46875,0.5625,0.5416666666666666,0.46875,0.3125,0.125,23.90046545327641
0.625,0.546875,0.4791666666666667,0.4375,0.5,0.5,0.20833333333333334,24.405592251569033
0.625,0.46875,0.5,0.5416666666666666,0.4739583333333333,0.375,0.16666666666666666,25.656105672824197
0.625,0.5,0.5416666666666666,0.4166666666666667,0.5,0.5,0.16666666666666666,24.902236716123298
0.625,0.5,0.4375,0.5,0.484375,0.4375,0.20833333333333334,26.30188202788122
0.625,0.5,0.5,0.4375,0.4791666666666667,0.625,0.16666666666666666,26.248783021583222
0.625,0.453125,0.5625,0.4583333333333333,0.46875,0.4375,0.20833333333333334,26.36211847513914
0.625,0.5,0.3958333333333333,0.5416666666666666,0.484375,0.5625,0.125,26.09900125581771
0.625,0.546875,0.4583333333333333,0.4375,0.5,0.4375,0.16666666666666666,25.227026929263957
0.625,0.40625,0.5,0.3958333333333333,0.453125,0.5625,0.16666666666666666,29.53208269411698
0.625,0.484375,0.4375,0.5833333333333334,0.4791666666666667,0.5625,0.20833333333333334,24.961630667676218
0.625,0.46875,0.5416666666666666,0.5,0.46875,0.5625,0.125,25.61444290005602
0.625,0.46875,0.5416666666666666,0.5208333333333334,0.46875,0.5,0.20833333333333334,25.2422991883941
0.625,0.53125,0.5208333333333334,0.4583333333333333,0.4947916666666667,0.4375,0.16666666666666666,24.053839639062062
0.625,0.46875,0.6458333333333334,0.3333333333333333,0.46875,0.6875,0.125,24.923295896151103
0.625,0.484375,0.5416666666666666,0.5416666666666666,0.4739583333333333,0.375,0.08333333333333333,24.423785107093863
0.625,0.53125,0.4791666666666667,0.4375,0.5104166666666666,0.4375,0.125,24.246719208196737
0.625,0.484375,0.4791666666666667,0.4791666666666667,0.4739583333333333,0.5,0.20833333333333334,25.569017483503558
0.625,0.59375,0.3958333333333333,0.375,0.59375,0.3125,0.08333333333333333,24.2195529184537
0.625,0.4375,0.4166666666666667,0.5208333333333334,0.4635416666666667,0.5625,0.125,27.945695229573175
0.625,0.421875,0.5416666666666666,0.4375,0.453125,0.4375,0.16666666666666666,28.013385529397056
0.625,0.5,0.5625,0.4375,0.484375,0.5,0.16666666666666666,24.40865182725247
0.625,0.46875,0.4375,0.5416666666666666,0.46875,0.4375,0.125,27.310467517818324
0.625,0.46875,0.4583333333333333,0.5416666666666666,0.46875,0.6875,0.125,27.089542149100453
0.625,0.421875,0.4166666666666667,0.5416666666666666,0.4583333333333333,0.5,0.16666666666666666,29.24888271652162
0.625,0.5,0.4583333333333333,0.5,0.5,0.375,0.16666666666666666,26.27335192100145
